album,titulo,letra,compositor,artista
"{'titulo_album': 'Reviva - Super Bossa Nova', 'ano': '2002'}",Chega de saudade,"Vai, minha tristeza
E diz a ela que sem 
Ela não pode ser
Diz-lhe numa prece
Que ela regresse
Porque eu não posso mais sofrer
Chega de saudade
A realidade é que sem ela
Não há paz, não há beleza
É só tristeza e a melancolia
Que não sai de mim
Não sai de mim, não sai
Mas se ela voltar
Se ela voltar
Que coisa linda
Que coisa louca
Pois há menos peixinhos 
a nadar no mar
Do que os beijinhos 
Que eu darei na sua boca
Dentro dos meus braços 
Os abraços
Hão de ser milhões 
De abraços
Apertado assim, 
Colado assim, 
Calado assim,
Abraços e beijinhos 
E carinhos sem ter fim
Que é pra acabar 
Com esse negócio
De viver longe de mim
Não, não quero mais 
Esse negócio
De você viver assim
Vamos deixar desse negócio
De você viver sem mim...
",Composição:  ,Agostinho dos Santos
"{'titulo_album': 'A Popularidade de Agostinho dos Santos', 'ano': '2000'}",O Amor Não Tem Juízo,"O amor vem sem aviso
Não vem quando é preciso
Nem vai quando se quer
Disseram mas duvido
Que o amor era cupido
Eu sei que ele é mulher
Eu conheci o amor
Sempre representado
Por imagens das atrizes
E ainda sinto a dor
Que dói aqui no lado
Em fundas cicratizes
O amor vem sem aviso
Não vem quando é preciso
Nem vai quando se quer
Às vezes sem motivo
O amor procura abrigo
Em outro amor qualquer
O amor não tem juízo
É desequilibrado
E mente quem disser
Que o amor nos manda aviso
Que vem quando é preciso
Que vai quando se quer
",Composição:  Fernando Cesar · ,Agostinho dos Santos
"{'titulo_album': 'A Popularidade de Agostinho dos Santos', 'ano': '2000'}",Minha Oração,"Minha Oração
Agostinho dos Santos
Orar é estar junto a ti
É pensar só em ti
Com ardente paixão
Orar é querer teu amor
Que é meu mundo de paz
Minha eterna oração.....
Beijar tua boca sensual
Poder abraçar o teu corpo ideal
Orar é poder converter
Uma doce ilusão
Em milagre de amor...
É viver neste sonho
Com fervor de oração...
(Falando)
""Ao cair da tarde
Quando tudo é mais calmo
Uma tristeza infinita
Envolve toda minha alma
E eu murmuro sempre assim:
Meu amor és meu mundo de paz
Minha doce Ilusão
Minha Eterna Oração !!""
Beijar tua boca sensual
Poder abraçar o teu corpo ideal
Orar é poder converter
Uma doce ilusão
Em milagre de amor...
É viver neste sonho
Com fervor de oração...
",Composição:  CAUBY DE BRITO / COMPOSIÇÃO DE GEORGES BOULANGER / Jimmy Kennedy · ,Agostinho dos Santos
"{'titulo_album': 'Série Gold: Baden Powell', 'ano': '2002'}",Na Baixa Do Sapateiro,"Oi, o amô, ai, ai
Amô bobagem que a gente não explica, ai, ai
Prova um bocadinho, oi
Fica envenenado, oi
E pro resto da vida
É um tal de sofrê
O-la-rá, o-le-rê
Ai, Bahia, ai, ai
Bahia que não me sai do pensamento, ai, ai
Faço o meu lamento, oi
Na desesperança, oi
De encontrá pr'esse mundo
O amô que eu perdi na Bahia,
Vou contá:
Na Baixa do Sapateiro
Encontrei um dia
A morena mais frajola da Bahia
Pediu-me um beijo, não dei
Um abraço, sorri
Pediu-me a mão, não quis dar, fugi
Bahia, terra da felicidade
Morena, eu ando louco de saudade
Meu Sinhô do Bonfim
Arranje uma morena igualzinha pra mim
",Composição:  Ary Barroso · ,Baden Powell
"{'titulo_album': 'A Popularidade de Agostinho dos Santos', 'ano': '2000'}",Favelado,"O morro sorri
A todo momento
O morro sorri
Mas chora por dentro
Quem vê o morro sorrir
Pensa que ele é feliz, coitado
O morro tem fome
O morro tem sede
O morro sou eu um favelado
O morro sou eu um favelado
",Composição:  Zé Kéti · ,Agostinho dos Santos
"{'titulo_album': 'As Melhores Interpretações de Agostinho dos Santos', 'ano': '2000'}",Ri,"Ri,
Podes rir, não faz mal
Todo amor a final
Deixa o peito sangrando
Um coração chorando
Alguém se lamentando
Ri
Quanta gente infeliz
A sorrir, ninguém diz
Leva a vida cantando
A própria dor negando
O seu amor calando
No picadeiro ao léu
Palhaços sem papel
Somos todos nós
Falseando a voz
E a platéia chora rindo
",Composição:  Roberto Menescal / Ronaldo Bôscoli · ,Agostinho dos Santos
"{'titulo_album': 'As Melhores Interpretações de Agostinho dos Santos', 'ano': '2000'}",Pior Pra Você,"Pior pra você
Você que não quer
Meu bem aceitar
O amor que lhe dou
Que é bom como quê, viu ?
Pior pra você
Me dá seu carinho
E o seu bem querer
Já fiz um ranchinho
Pra mim e você
Se você não quiser, viu ?
Pior pra você
A vida é gostosa é boa
Pra quem sabe amar
E provar os prazeres
Que o mundo nos dá
Sem isso
Não vale a pena viver, viu ?
",Composição:  Almeida Rego / Evaldo Gouveia · ,Agostinho dos Santos
"{'titulo_album': 'As Melhores Interpretações de Agostinho dos Santos', 'ano': '2000'}",Devaneio,"Era a saudade 
do passado
Era o olhar 
em meu caminho
Agora a sombra 
do passado
É um sombra de lado
Já não vivo sozinho
É minha crença 
no que creio
É a certeza 
que é minha
Meu sonho lindo,
devaneios
Amanhã é você
Só você 
vive inteirinha
",Composição:  Djalma Ferreira / Luis Antônio · ,Agostinho dos Santos
"{'titulo_album': 'A Popularidade de Agostinho dos Santos', 'ano': '2000'}",Se Todos Fossem Iguais a Você,"Vai tua vida, teu caminho é de paz e amor
A tua vida é uma linda canção de amor
Abre os teus braços e  canta a  última esperança
A esperança divina de amar  em paz
Se todos fossem  iguais a você
Que maravilha  viver
Uma canção pelo ar,  uma mulher a cantar
Uma cidade a cantar, a sorrir, a cantar, a  pedir
A beleza de amar como  o sol,  como a flor, como a luz
Amar sem mentir, nem sofrer
Existiria verdade, verdade que ninguém vê
Se todos fossem no mundo iguais a você
",Composição:  Antonio Carlos Jobim / Vinícius de Moraes · ,Agostinho dos Santos
"{'titulo_album': 'Copacabana', 'ano': '2003'}",Copacabana,"Existem praias tão lindas
Cheias de luz
Nennuma tem o encanto
Que tu possuis
Tuas areias
Teu céu tão lindo
Tuas sereias
Sempre sorrindo
Copacabana, princezinha do mar
Pelas manhãs tu és a vida a cantar
E à tardinha, ao sol poente
Dexias sempre uma saudade na gente
Copacabana, o mar eterno cantor
Ao te beijar, ficou perdido de amor
E hoje vive a murmurar
Só a ti Copacabana eu hei de amar
",Composição:  ,Trovadores Urbanos
